url,image_url,width,height,aspect_ratio,status
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/apakah-si-kecil-memiliki-risiko-alergi,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__2493__banner-detail-mobile/resize_mobile%20Apakah%20Si%20Kecil%20Memiliki%20Risiko%20Alergi.webp,221,215,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/0-3-bulan/gejala-awal-alergi-susu-sapi,https://www.nutriclub.co.id/articles/image/image-thumb__895__banner-detail-mobile/identifikasi-gejala-awal-alergi-susu-sapi-pada-bayi_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/hal-hal-yang-perlu-ibu-ketahui-tentang-alergi-pada-si-kecil,https://www.nutriclub.co.id/articles/image/image-thumb__892__banner-detail-mobile/hal-hal-yang-perlu-ibu-ketahui-tentang-alergi-pada-si-kecil_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/4-6-bulan/makanan-pencetus-alergi,https://www.nutriclub.co.id/articles/image/image-thumb__3536__banner-detail-mobile/Benarkah-Memperkenalkan-Makanan-Pencetus-Alergi-Bisa-Mencegah-si-Kecil-Mengalami-Alergi-small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/kesehatan/1-tahun/mengenal-susu-formula-terhidrolisis,https://www.nutriclub.co.id/articles/image/image-thumb__913__banner-detail-mobile/mengenal-susu-formula-terhidrolisis-dan-manfaatnya-bagi-bayi_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/pentingnya-mengetahui-risiko-alergi-si-kecil-sejak-dini,https://www.nutriclub.co.id/articles/image/image-thumb__3541__banner-detail-mobile/Pentingnya-Mengetahui-Risiko-Alergi-si-Kecil-Sejak-Dini-small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/0-3-bulan/tips-mencegah-dan-mengurangi-risiko-alergi-pada-si-kecil,https://www.nutriclub.co.id/articles/image/image-thumb__842__banner-detail-mobile/tips-mencegah-dan-mengurangi-risiko-alergi-pada-si-kecil_small.webp,240,190,1.26,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/aktivitas-fisik-pelengkap-diet-sehat-untuk-mencegah-alergi,https://www.nutriclub.co.id/articles/image/image-thumb__1655__banner-detail-mobile/aktivitas-fisik-pelengkap-diet-sehat-untuk-mencegah-alergi_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/alergi-dan-dampak-psikologisnya-pada-anak,https://www.nutriclub.co.id/articles/image/image-thumb__1661__banner-detail-mobile/alergi-dan-dampak-psikologisnya-pada-anak_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/alergi-makanan-pada-balita-memperkenalkan-makanan-baru-untuk-diet-alergi,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__489005__banner-detail-mobile/alergi-makanan-pada-balita-memperkenalkan-makanan-baru-untuk-diet-alergi-NUTRICLUB-MOBILE.webp,488,325,1.5,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/alergi-pada-kulit-anak,https://www.nutriclub.co.id/articles/image/image-thumb__1643__banner-detail-mobile/alergi-pada-kulit-anak_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/anak-saya-batuk-saat-dingin-apakah-alergi,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__490440__banner-detail-mobile/anak-saya-batuk-saat-dingin-apakah-alergi-nutriclub-mobile.webp,488,325,1.5,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/batuk-alergi,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__253767__banner-detail-mobile/batuk-alergi-pada-anak-penyebab-dan-cara-mengatasinya-nutriclub-mobile.webp,488,325,1.5,OK
